x_mm,y_mm,z_mm,local_ood_pct_vs_holdout_P1,local_ood_pct_vs_holdout_P2,local_ood_pct_vs_holdout_P3,local_ood_percentile_median_pair,local_ood_percentile_mean_pair,local_ood_percentile_max_pair,local_robust_OOD95,local_robust_OOD99
-9.10784407438,164.00706458699997,-242.437065417,0.7370284458552069,0.9388235294117647,0.9968779269434904,0.9388235294117647,0.8909099674034874,0.9968779269434904,0,0
-11.241815491643914,164.10068678705446,-242.5526291462727,0.4198510560371139,0.32088235294117645,0.7049640961598501,0.4198510560371139,0.48189916837938024,0.7049640961598501,0,0
-12.238829350764467,165.36853673672698,-232.47619537761872,0.7359296789158832,0.9323529411764706,0.980018732438339,0.9323529411764706,0.8827671175102311,0.980018732438339,0,0
-10.91162640945667,164.42259291929457,-237.3711860355349,0.7370284458552069,0.9395588235294118,0.9978145488604433,0.9395588235294118,0.891467272748354,0.9978145488604433,0,0
-11.651459756200952,164.9274620208273,-234.2225971192535,0.7358075937004028,0.9333823529411764,0.9793943178270371,0.9333823529411764,0.8828614214895388,0.9793943178270371,0,0
-11.710587725355074,164.8064439606274,-236.1215595466361,0.7358075937004028,0.9335294117647058,0.9790821105213862,0.9335294117647058,0.8828063719954983,0.9790821105213862,0,0
-13.037963561973449,165.78684464998767,-233.65848520278809,0.7359296789158832,0.9326470588235294,0.98033093974399,0.9326470588235294,0.8829692258278009,0.98033093974399,0,0
-11.68011371825218,164.5159326967129,-239.10354896602828,0.7370284458552069,0.9388235294117647,0.9975023415547923,0.9388235294117647,0.8911181056072547,0.9975023415547923,0,0
-12.495878100241992,164.5595814592854,-240.89646297772765,0.4702722500305213,0.33,0.7805182641273806,0.4702722500305213,0.5269301713859673,0.7805182641273806,0,0
-13.282877903392388,164.54914813362092,-242.77321870717967,0.39970699548284705,0.2969117647058824,0.6909147674055572,0.39970699548284705,0.46251117586476226,0.6909147674055572,0,0
-13.633261010023714,166.3796406599596,-232.51710935675555,0.7359296789158832,0.9304411764705882,0.980643147049641,0.9304411764705882,0.8823380008120375,0.980643147049641,0,0
-12.681345284337082,165.09793829213237,-237.4786001484601,0.6638994017824441,0.4213235294117647,0.9469247580393381,0.6638994017824441,0.6773825630778489,0.9469247580393381,0,0
-13.200965987758678,165.64488319777846,-235.57931762955133,0.7358075937004028,0.9335294117647058,0.9797065251326881,0.9335294117647058,0.8830145101992656,0.9797065251326881,0,0
-14.203686824638844,166.61732438099884,-234.13884297881165,0.7359296789158832,0.9319117647058823,0.980643147049641,0.9319117647058823,0.8828281968904689,0.980643147049641,0,0
-14.76596013625629,167.46336744302417,-232.6150857564423,0.736173849346844,0.9257352941176471,0.9818919762722448,0.9257352941176471,0.8812670399122453,0.9818919762722448,0,0
-13.559589973101588,165.24385754360364,-239.2741924215251,0.5592723721157368,0.3413235294117647,0.8719950046831095,0.5592723721157368,0.590863635403537,0.8719950046831095,0,0
-14.396841256437812,165.27621019714354,-241.1765640347357,0.4401172018068612,0.3029411764705882,0.7474242897283796,0.4401172018068612,0.496827556001943,0.7474242897283796,0,0
-15.212852241017764,165.26388515026,-243.07093721243564,0.35929678915883284,0.2877941176470588,0.653449890727443,0.35929678915883284,0.43351359917777826,0.653449890727443,0,0
-14.420691715240537,166.09326182639376,-237.53617397437768,0.6352093761445489,0.3785294117647059,0.9328754292850453,0.6352093761445489,0.6488714057314334,0.9328754292850453,0,0
-15.075282469713526,166.9750674085464,-235.99471503434657,0.6811134171651813,0.4361764705882353,0.9562909772088667,0.6811134171651813,0.6911936216540945,0.9562909772088667,0,0
-15.543849312423806,167.95480426056125,-234.19418253051373,0.7359296789158832,0.9285294117647059,0.9815797689665938,0.9285294117647059,0.8820129532157277,0.9815797689665938,0,0
-15.919409252597172,168.9322095539813,-232.6125473785453,0.7383713832254913,0.9494117647058824,0.9993755853886981,0.9494117647058824,0.8957195777733573,0.9993755853886981,0,0
-15.37856922522025,166.24947120767257,-239.5723661513811,0.5015260651935051,0.3289705882352941,0.7880112394630034,0.5015260651935051,0.5395026309639342,0.7880112394630034,0,0
-16.203129317143777,166.24333827622337,-241.50794975848808,0.3964106946648761,0.3247058823529412,0.6746799875117078,0.3964106946648761,0.46526552150984174,0.6746799875117078,0,0
-17.021669296406696,166.2027224216712,-243.4324422240176,0.2981320962031498,0.3225,0.5482360287230721,0.3225,0.38962270830874063,0.5482360287230721,0,0
-16.31362476843284,167.52657083586,-237.9946992114789,0.5640336955194726,0.3966176470588235,0.817046518888542,0.5640336955194726,0.5925659538222794,0.817046518888542,0,0
-16.46010538442555,168.43068245536332,-236.02018393601227,0.6360639726529117,0.4510294117647059,0.9250702466437715,0.6360639726529117,0.6707212103537964,0.9250702466437715,0,0
-16.72143935052029,169.5779406048991,-234.1133791056941,0.7359296789158832,0.9235294117647059,0.9809553543552919,0.9235294117647059,0.8801381483452938,0.9809553543552919,0,0
-16.86240969274017,170.56378919020048,-232.44067393439207,0.7370284458552069,0.9494117647058824,0.9975023415547923,0.9494117647058824,0.8946475173719605,0.9975023415547923,0,0
-17.54809311245858,172.2672411586209,-231.98748230074847,0.7370284458552069,0.9494117647058824,0.9968779269434904,0.9494117647058824,0.8944393791681932,0.9968779269434904,0,0
-17.985017795421616,173.75304757813282,-231.5552605189162,0.7370284458552069,0.9491176470588235,0.9962535123321886,0.9491176470588235,0.8941332017487397,0.9962535123321886,0,0
-17.06698704738526,167.4870750364861,-239.9895592290657,0.4244902942253693,0.40794117647058825,0.679675304402123,0.4244902942253693,0.5040355916993602,0.679675304402123,0,0
-17.850251825308177,167.40437789726843,-241.9242838659373,0.316566963740691,0.4227941176470588,0.5320012488292226,0.4227941176470588,0.42378744340565744,0.5320012488292226,0,0
