x_mm,y_mm,z_mm,is_calibration_anchor,mechanical_pct_ref,mechanical_pct_pred,peakWSS_pct_ref,peakWSS_pct_pred,RRT_pct_ref,RRT_pct_pred,high_shear_co_burden_ref,high_shear_co_burden_pred,high_shear_co_burden_abs_error,high_shear_joint_topdecile_ref,high_shear_joint_topdecile_pred,high_shear_pareto_front_ref,high_shear_pareto_front_pred,residence_oscillation_co_burden_ref,residence_oscillation_co_burden_pred,residence_oscillation_co_burden_abs_error,residence_oscillation_joint_topdecile_ref,residence_oscillation_joint_topdecile_pred,residence_oscillation_pareto_front_ref,residence_oscillation_pareto_front_pred
-22.26154728641355,179.46920695052594,-240.7565722215684,0,0.20453744671482724,0.22824556049415254,0.5635508782226465,0.5478572970282024,0.6167050342809773,0.5108327609110465,0.20453744671482724,0.22824556049415254,0.0237081137793253,0,0,0,0,0.20453744671482724,0.22824556049415254,0.0237081137793253,0,0,0,0
-22.413901211114933,180.4427800181964,-241.3522000654086,0,0.2585949057971717,0.2520704384126926,0.5697765182104603,0.51219424514944,0.5847064942681542,0.5044507364104369,0.2585949057971717,0.2520704384126926,0.0065244673844790935,0,0,0,0,0.2585949057971717,0.2520704384126926,0.0065244673844790935,0,0,0,0
-23.3688677615354,178.76005697972684,-243.7741110580844,1,0.08088452654686706,0.08088452654686706,0.6876431267166788,0.6876431267166788,0.4097001073649311,0.4097001073649311,0.08088452654686706,0.08088452654686706,0.0,0,0,0,0,0.08088452654686706,0.08088452654686706,0.0,0,0,0,0
-23.24907332324713,177.8664116637359,-243.5728747607424,0,0.038804916345312475,0.08417130681552588,0.6727238265851893,0.7175461261012424,0.4081901662960154,0.40733967091234474,0.038804916345312475,0.08417130681552588,0.04536639047021341,0,0,0,0,0.038804916345312475,0.08417130681552588,0.04536639047021341,0,0,0,0
-22.98682818616664,178.58666116261745,-242.73901735617056,0,0.13237011787153305,0.09923060809107519,0.6670856413732292,0.6785918278058963,0.45002773703481197,0.4266454210567126,0.13237011787153305,0.09923060809107519,0.03313950978045786,0,0,0,0,0.13237011787153305,0.09923060809107519,0.03313950978045786,0,0,0,0
-22.824825829605206,177.53245286430558,-242.5299739234703,0,0.0850051531271638,0.1283272197435069,0.662325659236117,0.628378269693587,0.4480611903748486,0.4352726807438851,0.0850051531271638,0.1283272197435069,0.043322066616343094,0,0,0,0,0.0850051531271638,0.1283272197435069,0.043322066616343094,0,0,0,0
-22.58412637911783,178.39888169526452,-241.684545309596,0,0.150815067891328,0.16017588692960652,0.629934569832213,0.5650128008369695,0.5173191468568582,0.47819530293805407,0.150815067891328,0.16017588692960652,0.009360819038278512,0,0,0,0,0.150815067891328,0.16017588692960652,0.009360819038278512,0,0,0,0
-22.74215771849702,179.57196926122333,-242.06230647230225,0,0.20741161226733454,0.14064725616932927,0.6320209070578378,0.544040894302495,0.5262014167958129,0.47122453016502225,0.20741161226733454,0.14064725616932927,0.06676435609800527,0,0,0,0,0.20741161226733454,0.14064725616932927,0.06676435609800527,0,0,0,0
-21.19318273960406,183.96826417691736,-241.03057038967904,0,0.37520760334245407,0.3055774043912948,0.4946320829657232,0.5134300134463988,0.6195520786656075,0.503033170559324,0.37520760334245407,0.3055774043912948,0.06963019895115924,0,0,0,0,0.37520760334245407,0.3055774043912948,0.06963019895115924,0,0,0,0
-22.11302416561033,181.5550893446648,-241.0887110208712,0,0.2948110792742981,0.2589764434740815,0.5537012522491153,0.5062841082703465,0.6107547153083618,0.507175769124582,0.2948110792742981,0.2589764434740815,0.03583463580021662,0,0,0,0,0.2948110792742981,0.2589764434740815,0.03583463580021662,0,0,0,0
-21.714098277937293,182.7584529056529,-241.01807085329744,0,0.3109128284368394,0.30374607741745235,0.5016305634299322,0.4913516736682168,0.6287213616671778,0.5075550121516729,0.3109128284368394,0.30374607741745235,0.007166751019387019,0,0,0,0,0.3109128284368394,0.30374607741745235,0.007166751019387019,0,0,0,0
-22.71193296552345,180.5273746199306,-242.21539163065,0,0.2473805202601298,0.17393465403321717,0.5982679595284935,0.6132380627760036,0.5497773455271975,0.4649456471580415,0.2473805202601298,0.17393465403321717,0.07344586622691263,0,0,0,0,0.2473805202601298,0.17393465403321717,0.07344586622691263,0,0,0,0
-23.607769070111228,178.1910736875228,-244.4938323422992,0,0.007223608824963877,0.09015973203016787,0.6974928014318466,0.7177722804186063,0.36651461926453943,0.36889507413722294,0.007223608824963877,0.09015973203016787,0.082936123205204,0,0,0,0,0.007223608824963877,0.09015973203016787,0.082936123205204,0,0,0,0
-22.485690741614707,181.31948888430955,-241.9917320955585,0,0.290081906636468,0.24335800644051475,0.5653860139778629,0.6063103532696129,0.5754330686197049,0.49737833627533123,0.290081906636468,0.24335800644051475,0.04672390019595324,0,0,0,0,0.290081906636468,0.24335800644051475,0.04672390019595324,0,0,0,0
-23.67922776301333,179.03114212447215,-244.64680700505247,0,0.030843988129505163,0.07142752350941205,0.6777209481138149,0.7164204567923645,0.39271470906290035,0.3659008973840681,0.030843988129505163,0.07142752350941205,0.04058353537990689,0,0,0,0,0.030843988129505163,0.07142752350941205,0.04058353537990689,0,0,0,0
-23.118743445903004,179.46921090082725,-243.0952164742719,0,0.1641877815633863,0.1065199573042472,0.6662924901334182,0.6845675598198703,0.45295121637514385,0.4240259715760062,0.1641877815633863,0.1065199573042472,0.05766782425913909,0,0,0,0,0.1641877815633863,0.1065199573042472,0.05766782425913909,0,0,0,0
-23.446047295665405,179.6649433793786,-244.0559138304248,1,0.11578920644634601,0.11578920644634601,0.6774277580750109,0.6774277580750109,0.4218249460626624,0.4218249460626624,0.11578920644634601,0.11578920644634601,0.0,0,0,0,0,0.11578920644634601,0.11578920644634601,0.0,0,0,0,0
-22.95129291099792,180.20972121030053,-242.78005908862127,0,0.23336825703629183,0.13524665161885466,0.6197925591415009,0.5592177916789042,0.5162018020839968,0.4348707587585641,0.23336825703629183,0.13524665161885466,0.09812160541743717,0,0,0,0,0.23336825703629183,0.13524665161885466,0.09812160541743717,0,0,0,0
-22.18408060178698,182.33432002124133,-241.952970457664,0,0.3261633016974459,0.35781122760753964,0.5538233374645958,0.5468643321206402,0.5866540236612706,0.49878154770423055,0.3261633016974459,0.35781122760753964,0.031647925910093744,0,0,0,0,0.3261633016974459,0.35781122760753964,0.031647925910093744,0,0,0,0
