x_mm,y_mm,z_mm,anchor_5pct,anchor_10pct
-13.8776196648298,188.2887744697449,-250.076909707462,1,0
-14.595782846074592,190.8008085850304,-233.9918323892925,0,0
-15.276537993472592,189.9692811683348,-233.77524661660573,0,0
-15.718341421504611,189.25120305371715,-232.9553007132592,0,0
-12.8747568798367,190.53709865216672,-246.3156313516596,0,0
-11.527937038571396,191.12410937077647,-246.0910977409852,0,0
-15.314482120273444,190.22510464916925,-235.1697463385561,0,0
-12.50588331839376,192.61970986525463,-241.07517171523656,0,0
-11.181982598314582,192.73794516753028,-242.4752249569709,0,1
-12.814338510472698,192.0060169556876,-242.8558434842644,0,0
-11.390902459855528,191.9786429420812,-244.3678626190039,0,1
-12.797461279422912,191.26922524956703,-244.8006790184093,0,0
-13.661877893529796,192.1773130764719,-239.7165061861599,0,0
-14.783842911558756,191.1112792226824,-236.59851322095392,0,0
-14.442860917229227,191.61609467197056,-238.22184559582544,0,0
-16.35850563706101,188.2009132334274,-232.644130537436,0,0
-14.30781012747585,188.6154673761235,-248.9778310834389,0,0
-14.782163921554435,188.788188089092,-248.12695452491351,0,0
-14.020498706656904,189.73160332016616,-246.90843038421616,1,0
-14.745963086331296,189.0927775360992,-247.49957143158124,0,0
-15.306700071493616,188.31362192561124,-248.6436470137972,0,0
-14.938131148,187.891189618,-249.99815914,0,0
-15.896503698183412,189.30186289587888,-234.24966527376867,0,0
-16.323912441285426,188.5520138750213,-233.5949424848914,0,0
-14.50748146697507,190.20043566367656,-245.273176595688,0,0
-16.11315003534661,189.314097119282,-235.34957631049687,0,0
-15.84847028414283,189.9174246606545,-236.4623786848869,0,0
-14.108312695190753,191.669270314142,-241.3202830419224,0,0
-14.566951914134846,190.90266979242617,-243.2140066657272,0,0
-15.066998114305935,191.1104430586777,-239.7920049423528,0,0
-15.811560667582988,190.30065355429755,-238.1778673637933,0,0
-16.736131879065017,188.3432191484768,-234.84041338760665,0,0
-16.917973086174097,187.64020637277005,-233.6239540969281,0,0
-17.540599494064185,187.0594386622574,-234.7069861241457,0,0
-15.515464171041383,188.65201234047944,-247.60997410475187,0,1
-16.244003557514223,188.04384785196507,-248.2057672292264,0,0
-15.292064257554436,189.23078095754016,-246.53487386631457,0,0
-15.960454252088224,187.7134668979673,-249.37909993224991,0,1
-16.71702955376563,188.7952116656396,-236.20409694307173,0,0
-17.45058815571916,187.74327485380667,-236.04756266603968,0,0
-15.752295275087244,189.4445141019588,-245.30467465580645,0,1
-16.298055462941164,188.89574732417253,-245.8901178259817,0,0
-15.71281298768009,189.8744750895776,-244.0847991476903,1,0
-16.63509922656759,189.0257061053686,-244.81069815305392,0,0
-16.603372899253497,189.2654161268096,-237.3988948029064,0,0
-17.334799690132606,188.37544787179783,-237.4412972441989,0,0
-15.622900484439766,190.5211173757289,-241.4379668479794,0,0
-16.03252518727072,189.9447028855964,-242.9086034271604,0,1
-16.359834569480142,189.92266592599552,-239.96786655581468,1,0
-16.971148485846673,189.12618084485496,-238.69417315919432,0,1
-18.24238459851083,186.43979318354167,-235.9224316756217,0,0
-16.963557451573056,187.4310533168325,-248.8858285950002,0,0
-16.44105335533318,188.4236505816742,-246.94061016899704,0,0
-17.229432689199875,187.67572491639496,-247.79287842532509,0,0
-17.180023781839225,188.3589918413712,-245.82200072120136,0,0
-17.687676122972675,187.75605105568704,-246.7300067542158,0,1
-18.15733835884283,187.2063587182016,-237.3365331283744,0,0
-16.943875004581425,189.0798526875311,-243.67729293554808,0,0
-17.72154382244324,188.27459313190573,-244.68389095467344,0,0
-17.981134942980677,187.91155024499284,-238.6932985741116,0,0
-17.141213870455612,189.16396535152728,-241.75811453271908,0,0
-17.648825042583887,188.5935243729375,-240.09279976699287,0,0
-19.00280726749328,185.79342015543224,-237.2361286546532,0,0
-17.872810684399646,187.0649636665071,-248.540278345496,1,0
-18.21765646106995,187.1781638541112,-247.5531312902129,0,0
