x_mm,y_mm,z_mm,is_calibration_anchor,mechanical_pct_ref,mechanical_pct_pred,peakWSS_pct_ref,peakWSS_pct_pred,RRT_pct_ref,RRT_pct_pred,high_shear_co_burden_ref,high_shear_co_burden_pred,high_shear_co_burden_abs_error,high_shear_joint_topdecile_ref,high_shear_joint_topdecile_pred,high_shear_pareto_front_ref,high_shear_pareto_front_pred,residence_oscillation_co_burden_ref,residence_oscillation_co_burden_pred,residence_oscillation_co_burden_abs_error,residence_oscillation_joint_topdecile_ref,residence_oscillation_joint_topdecile_pred,residence_oscillation_pareto_front_ref,residence_oscillation_pareto_front_pred,high_shear_dominance_score_ref,high_shear_dominance_score_pred,high_shear_dominance_abs_error,residence_oscillation_dominance_score_ref,residence_oscillation_dominance_score_pred,residence_oscillation_dominance_abs_error
-21.937202219569475,180.6604530355423,-240.133495131136,0,0.2556286573701801,0.3160263463797028,0.5444548025152153,0.5470988109740206,0.6355385327521783,0.4980064125780161,0.2556286573701801,0.3160263463797028,0.0603976890095226,0,0,0,0,0.2556286573701801,0.3160263463797028,0.0603976890095226,0,0,0,0,0.12019730010384216,0.11863966770508827,0.0015576323987538943,0.3304776739356179,0.4088785046728972,0.07840083073727933
-22.26154728641355,179.46920695052594,-240.7565722215684,0,0.2045374467148272,0.2344759102315728,0.5635508782226465,0.5584903091189689,0.6167050342809773,0.4827217338300408,0.2045374467148272,0.2344759102315728,0.0299384635167455,0,0,0,0,0.2045374467148272,0.2344759102315728,0.0299384635167455,0,0,0,0,0.10539979231568017,0.05581516095534787,0.049584631360332296,0.26869158878504673,0.2118380062305296,0.05685358255451714
-22.413901211114933,180.4427800181964,-241.3522000654086,0,0.2585949057971717,0.2112117070059639,0.5697765182104603,0.548393290456403,0.5847064942681542,0.4768221673951462,0.2585949057971717,0.2112117070059639,0.0473831987912077,0,0,0,0,0.2585949057971717,0.2112117070059639,0.0473831987912077,0,0,0,0,0.13629283489096572,0.03894080996884735,0.09735202492211836,0.3263239875389408,0.17419522326064382,0.152128764278297
-23.3688677615354,178.76005697972684,-243.7741110580844,0,0.080884526546867,0.1014782114724523,0.6876431267166788,0.7145400366656834,0.4097001073649311,0.3917171548557003,0.080884526546867,0.1014782114724523,0.0205936849255852,0,0,0,0,0.080884526546867,0.1014782114724523,0.0205936849255852,0,0,0,0,0.0646417445482866,0.0314122533748702,0.0332294911734164,0.10228452751817238,0.024402907580477674,0.07788161993769471
-23.24907332324713,177.8664116637359,-243.5728747607424,0,0.0388049163453124,0.0745769365321218,0.6727238265851893,0.7179170445923169,0.4081901662960154,0.3979786064357212,0.0388049163453124,0.0745769365321218,0.0357720201868094,0,0,0,0,0.0388049163453124,0.0745769365321218,0.0357720201868094,0,0,0,0,0.037642782969885775,0.021287642782969886,0.01635514018691589,0.05425752855659398,0.018172377985462097,0.03608515057113188
-22.98682818616664,178.58666116261745,-242.73901735617056,0,0.132370117871533,0.128830842635897,0.6670856413732292,0.6751560351488441,0.4500277370348119,0.4198594005559493,0.132370117871533,0.128830842635897,0.0035392752356359,0,0,0,0,0.132370117871533,0.128830842635897,0.0035392752356359,0,0,0,0,0.09397715472481828,0.030893042575285565,0.06308411214953272,0.1690031152647975,0.04646936656282451,0.12253374870197299
-22.824825829605206,177.53245286430558,-242.5299739234703,0,0.0850051531271638,0.1126203367234799,0.662325659236117,0.6741617031997181,0.4480611903748486,0.4337080560692426,0.0850051531271638,0.1126203367234799,0.0276151835963161,0,0,0,0,0.0850051531271638,0.1126203367234799,0.0276151835963161,0,0,0,0,0.0646417445482866,0.02570093457943925,0.03894080996884734,0.112668743509865,0.040758047767393564,0.07191069574247144
-22.58412637911783,178.39888169526452,-241.684545309596,0,0.150815067891328,0.1568123793619273,0.629934569832213,0.6086862188426586,0.5173191468568582,0.4656634381403963,0.150815067891328,0.1568123793619273,0.0059973114705993,0,0,0,0,0.150815067891328,0.1568123793619273,0.0059973114705993,0,0,0,0,0.09579439252336448,0.0264797507788162,0.06931464174454828,0.19262720664589825,0.07892004153686397,0.11370716510903428
-22.74215771849702,179.57196926122333,-242.06230647230225,0,0.2074116122673345,0.1849870646045749,0.6320209070578378,0.5556418241477794,0.5262014167958129,0.4425574424940822,0.2074116122673345,0.1849870646045749,0.0224245476627596,0,0,0,0,0.2074116122673345,0.1849870646045749,0.0224245476627596,0,0,0,0,0.1308411214953271,0.027258566978193146,0.10358255451713394,0.26453790238836966,0.1191588785046729,0.14537902388369678
-21.19318273960406,183.96826417691736,-241.03057038967904,0,0.375207603342454,0.2771291310633273,0.4946320829657232,0.5473656603632114,0.6195520786656075,0.4444176254023429,0.375207603342454,0.2771291310633273,0.0980784722791267,0,0,0,0,0.375207603342454,0.2771291310633273,0.0980784722791267,0,0,0,0,0.14148494288681204,0.08982346832814123,0.05166147455867082,0.43328141225337485,0.2946521287642783,0.13862928348909653
