target,candidate,train_patient,val_patient,R2,MAE,RMSE,Spearman,Top10_overlap,NMAE
VM_cycle_max_Pa,LGB_local,3,1,-0.3942889628745905,2284.985213833824,3465.1316110088337,-0.17955353946043195,0.009768009768009768,0.8575660626005988
VM_cycle_max_Pa,LGB_local,1,3,-0.3815338010810254,1327.4956420981896,1742.7892586207936,0.047799377496085385,0.09375,0.7463306925447638
VM_stress_amplitude_Pa,LGB_smooth,3,1,-0.3731972605770024,1117.4788345252737,1719.411424905017,-0.2130334881493261,0.017094017094017096,0.8387904802620662
VM_stress_amplitude_Pa,LGB_smooth,1,3,-0.3482424042041643,648.6893050600366,860.8314235524048,0.02427761551723934,0.13125,0.729398620356137
VM_stress_amplitude_Pa,LGB_mid,3,1,-0.44822959505869475,1161.5126152299345,1765.761539306611,-0.24742999261634355,0.009768009768009768,0.8718426642711777
VM_stress_amplitude_Pa,LGB_mid,1,3,-0.38033267931957515,660.4641041758629,871.0157454600592,0.04063517429159637,0.13125,0.742638428941018
VM_stress_amplitude_Pa,LGB_local,3,1,-0.3942889485987062,1142.4925996372763,1732.565796485015,-0.17955353946043195,0.009768009768009768,0.857566055604728
VM_stress_amplitude_Pa,LGB_local,1,3,-0.3815337976971398,663.747819004633,871.3946271395611,0.047799377496085385,0.09375,0.7463307004908414
VM_temporal_mean_Pa,LGB_smooth,3,1,-0.15723322187307742,551.7019921334281,829.6684919416446,-0.003664800224898613,0.05860805860805861,0.7773125725053595
VM_temporal_mean_Pa,LGB_smooth,1,3,-0.5722329781966891,348.67110887160663,447.90019503676604,-0.24153891617073053,0.059375,0.7739691749419301
VM_temporal_mean_Pa,LGB_mid,3,1,-0.2441986153883413,576.9031257063124,860.2783782890255,-0.09359928548749215,0.0,0.8128193465371853
VM_temporal_mean_Pa,LGB_mid,1,3,-0.6974913317879521,358.80885846420114,465.4002191053979,-0.23442039691517685,0.05625,0.7964726330384182
VM_temporal_mean_Pa,LGB_local,3,1,-0.2190929683693934,570.524053689772,851.5547269584159,-0.07450926318052199,0.001221001221001221,0.8038316449336451
VM_temporal_mean_Pa,LGB_local,1,3,-0.6473933671570351,353.4762692218152,458.4811210115199,-0.19542226990375972,0.053125,0.7846355189466009
