target,calibration_fraction,P123_R2,P13_R2,P123_Spearman,P13_Spearman,P123_Top10_overlap,P13_Top10_overlap,P123_MAE,P13_MAE,Delta_R2_P13_minus_P123,Delta_Spearman,Delta_Top10_overlap
RRT_1_per_Pa,0.1,-0.0004605918432611,-0.00046175853406049683,0.7514823924107872,0.7526865422789908,0.6,0.6027397260273972,6.13947522618823,6.140293547778249,-1.1666907993968336e-06,0.0012041498682036078,0.002739726027397249
peak_WSS_magnitude_Pa,0.01,-0.056494812856362,-0.06325380280597748,0.4896554291968251,0.48419054482735724,0.3067331670822942,0.24937655860349128,2.604563024461923,2.587965875585235,-0.0067589899496154765,-0.005464884369467848,-0.05735660847880292
peak_WSS_magnitude_Pa,0.02,0.210740199475606,0.18785334748605365,0.6368040757302685,0.631315347878831,0.5365239294710328,0.5415617128463476,2.2982321334085083,2.323159348293828,-0.022886851989552343,-0.005488727851437503,0.005037783375314797
peak_WSS_magnitude_Pa,0.05,0.302210666843721,0.28810248359424384,0.7319930834830494,0.7361133517087641,0.6051948051948052,0.6233766233766234,2.034979351237952,2.032110204970725,-0.014108183249477158,0.004120268225714763,0.018181818181818188
peak_WSS_magnitude_Pa,0.1,0.3901030069617673,0.38233279579290025,0.7417885551048689,0.7499475274228404,0.663013698630137,0.6547945205479452,2.00213148289161,1.9909616590122774,-0.007770211168867058,0.00815897231797158,-0.008219178082191858
VM_cycle_max_Pa,0.01,0.045937116601841,0.014273074554090437,0.2817103043088913,0.2510423113887853,0.2169576059850374,0.22942643391521197,899.6779936023911,917.7263821580177,-0.031664042047750564,-0.030667992920106024,0.012468827930174564
VM_cycle_max_Pa,0.02,0.2104104539534611,0.19084202819854457,0.4094916596588792,0.39439963206075934,0.3904282115869018,0.3929471032745592,824.6621414152038,832.1844779292178,-0.019568425754916546,-0.01509202759811984,0.0025188916876573986
VM_cycle_max_Pa,0.05,0.3167489879811023,0.3217672060058573,0.5689549763840062,0.5724280992289733,0.5064935064935064,0.509090909090909,728.6733740564075,730.864770694659,0.0050182180247549946,0.003473122844967147,0.0025974025974025983
VM_cycle_max_Pa,0.1,0.3718115599131496,0.37170532817458335,0.6215106001536707,0.6292611112635778,0.4821917808219178,0.4821917808219178,684.6413318218938,686.4983001338782,-0.00010623173856627588,0.007750511109907099,0.0
VM_stress_amplitude_Pa,0.01,0.0460007615831522,0.014614641840754894,0.281759624943234,0.25150243024113744,0.2169576059850374,0.22942643391521197,449.81963231546587,458.7182551034828,-0.03138611974239731,-0.030257194702096535,0.012468827930174564
VM_stress_amplitude_Pa,0.02,0.2103949996712146,0.19090450883136934,0.4094416907059784,0.39454611808308765,0.3904282115869018,0.3929471032745592,412.3233709463487,416.0565151264502,-0.019490490839845276,-0.014895572622890763,0.0025188916876573986
VM_stress_amplitude_Pa,0.05,0.3167811264978311,0.32185292576352653,0.5689974639775767,0.572469000626329,0.5064935064935064,0.509090909090909,364.3241654410945,365.40876095551926,0.005071799265695454,0.003471536648752327,0.0025974025974025983
VM_stress_amplitude_Pa,0.1,0.3718363099715823,0.37173020787849065,0.6215427931002823,0.6292687782266966,0.4821917808219178,0.4821917808219178,342.3068866574277,343.2396217559974,-0.00010610209309164231,0.007725985126414314,0.0
VM_temporal_mean_Pa,0.01,0.109959873355826,0.11215278864047729,0.4805932062279937,0.46518526991463616,0.1670822942643391,0.1596009975062344,216.03377880827892,215.56687227294978,0.0021929152846512923,-0.015407936313357518,-0.0074812967581046885
VM_temporal_mean_Pa,0.02,0.2482899089406534,0.2589085719782338,0.5356658192670744,0.5531380960188746,0.2972292191435768,0.35768261964735515,199.5530408302546,199.06446057687842,0.010618663037580411,0.017472276751800297,0.06045340050377834
