target,method,distance_quartile,n,median_nearest_anchor_distance_stdxyz,mean_abs_error_over_IQR,median_abs_error_over_IQR,Spearman_distance_vs_abs_error_all_nonanchor
VM_cycle_max_Pa,RBF,4,963,0.2798163039054736,0.3713197650857991,0.2530674900769312,0.24785171301937592
VM_temporal_mean_Pa,Prior+adapt,1,963,0.058934101690112754,0.3464793516930297,0.22791556651649744,0.13496000199728872
VM_temporal_mean_Pa,Prior+adapt,2,963,0.10731459453762249,0.38748627168437766,0.2751740034950247,0.13496000199728872
VM_temporal_mean_Pa,Prior+adapt,3,963,0.16598449944227656,0.42702985203828314,0.31439994611061767,0.13496000199728872
VM_temporal_mean_Pa,Prior+adapt,4,963,0.2798163039054736,0.4819649835736367,0.3599456961176518,0.13496000199728872
VM_temporal_mean_Pa,IDW,1,963,0.058934101690112754,0.25236839522778215,0.14065788382097213,0.111232907961385
VM_temporal_mean_Pa,IDW,2,963,0.10731459453762249,0.26979534567347135,0.17798509475638943,0.111232907961385
VM_temporal_mean_Pa,IDW,3,963,0.16598449944227656,0.2916481456668324,0.18448410088605838,0.111232907961385
VM_temporal_mean_Pa,IDW,4,963,0.2798163039054736,0.340828957717167,0.22356695904247084,0.111232907961385
VM_temporal_mean_Pa,RBF,1,963,0.058934101690112754,0.1733424732705505,0.0955517179460214,0.20758180819562555
VM_temporal_mean_Pa,RBF,2,963,0.10731459453762249,0.19397843005820176,0.11603329748015914,0.20758180819562555
VM_temporal_mean_Pa,RBF,3,963,0.16598449944227656,0.23103863781087797,0.1386059744769174,0.20758180819562555
VM_temporal_mean_Pa,RBF,4,963,0.2798163039054736,0.2991850005247935,0.18448530753646372,0.20758180819562555
