x_mm,y_mm,z_mm,VM_cycle_max_Pa,VM_cycle_min_Pa,VM_stress_range_Pa,VM_stress_amplitude_Pa,VM_midrange_stress_Pa,VM_temporal_mean_Pa,t_VM_max_s
-11.68011371825218,164.5159326967129,-239.10354896602828,1744.2471284594983,1.4158720393153478e-07,1744.2471283179111,872.1235641589556,872.1235643005427,336.82805604155686,0.05
-12.495878100241992,164.5595814592854,-240.89646297772765,1555.503349886122,1.0993467482659427e-07,1555.5033497761872,777.7516748880936,777.7516749980283,270.02357426433963,0.05
-13.282877903392388,164.54914813362092,-242.77321870717967,1415.7023964128714,3.014272719894927e-07,1415.7023961114442,707.8511980557221,707.8511983571493,186.91198379742644,0.05
-13.633261010023714,166.3796406599596,-232.51710935675555,3744.203525059715,3.930019593765565e-07,3744.2035246667133,1872.1017623333566,1872.1017627263584,721.510313355062,0.05
-12.681345284337082,165.09793829213237,-237.4786001484601,2700.454625377129,1.8174412920727077e-07,2700.454625195385,1350.2273125976924,1350.2273127794367,499.94031267266126,0.05
-13.200965987758678,165.64488319777846,-235.57931762955135,3420.482962672698,2.748118727776903e-07,3420.482962397886,1710.241481198943,1710.241481473755,633.6597870034677,0.05
-14.203686824638844,166.61732438099884,-234.13884297881165,3842.9371987210943,3.241534785248745e-07,3842.937198396941,1921.4685991984704,1921.468599522624,735.1165158349269,0.05
-14.76596013625629,167.46336744302417,-232.6150857564423,3697.095702099001,3.169190190509383e-07,3697.095701782082,1848.547850891041,1848.5478512079599,732.8299438580631,0.05
-13.559589973101588,165.24385754360364,-239.2741924215251,2598.547270422585,1.4781332872007848e-07,2598.5472702747716,1299.2736351373858,1299.2736352851991,467.11536085649914,0.05
-14.396841256437812,165.27621019714354,-241.1765640347357,2417.955182028167,1.0627881639449775e-07,2417.955181921888,1208.977590960944,1208.977591067223,389.08842002661595,0.05
-15.212852241017764,165.26388515026,-243.07093721243564,1944.183536380181,2.417475002252915e-07,1944.1835361384335,972.0917680692168,972.0917683109643,250.1937168235353,0.05
-14.420691715240537,166.09326182639376,-237.53617397437768,3533.7906373197407,2.086243181010035e-07,3533.790637111116,1766.895318555558,1766.8953187641825,651.3647232679052,0.05
-15.075282469713526,166.9750674085464,-235.99471503434657,3911.189949399596,2.900742923906976e-07,3911.189949109522,1955.594974554761,1955.5949748448352,738.3945961935555,0.05
-15.543849312423806,167.95480426056125,-234.19418253051373,3809.865229987127,3.243937539155776e-07,3809.8652296627333,1904.9326148313667,1904.9326151557602,748.8191331894689,0.05
-15.919409252597172,168.9322095539813,-232.61254737854532,3343.9174124355245,3.2965869403520897e-07,3343.917412105866,1671.958706052933,1671.9587063825916,689.9343822396709,0.05
-15.37856922522025,166.24947120767257,-239.5723661513811,3442.607746502807,1.883998690791862e-07,3442.607746314407,1721.3038731572035,1721.3038733456035,602.8828843698093,0.05
-16.203129317143777,166.24333827622337,-241.50794975848808,3164.2213939604685,1.264932662481861e-07,3164.221393833975,1582.1106969169875,1582.110697043481,501.5682690739507,0.05
-17.021669296406696,166.2027224216712,-243.43244222401756,2558.902541870449,1.848719354414531e-07,2558.902541685577,1279.4512708427885,1279.4512710276606,337.0367503589481,0.05
-16.31362476843284,167.52657083586,-237.9946992114789,4018.3017152280345,2.776367205203239e-07,4018.3017149503976,2009.1508574751988,2009.1508577528357,739.9029320550344,0.05
-16.46010538442555,168.43068245536332,-236.02018393601227,3825.175740109567,3.5864921463795245e-07,3825.1757397509177,1912.5878698754589,1912.587870234108,741.9344409059058,0.05
-16.72143935052029,169.5779406048991,-234.11337910569412,3321.2032797693014,3.922191063944754e-07,3321.2032793770823,1660.6016396885411,1660.6016400807603,683.8448653578955,0.05
-16.86240969274017,170.56378919020048,-232.44067393439207,2809.7713138558447,3.932386970901383e-07,2809.771313462606,1404.885656731303,1404.8856571245417,604.4959112155254,0.05
-17.54809311245858,172.2672411586209,-231.98748230074855,2312.9230229752256,4.780905540132678e-07,2312.923022497135,1156.4615112485676,1156.461511726658,511.0028252676345,0.05
-17.985017795421616,173.75304757813282,-231.5552605189162,2107.5430408122747,5.129162922621187e-07,2107.5430402993584,1053.7715201496792,1053.7715206625955,457.1030965644303,0.05
-17.06698704738526,167.4870750364861,-239.9895592290657,3853.960190173416,2.4383550455179124e-07,3853.9601899295803,1926.9800949647902,1926.9800952086257,668.1194149152693,0.05
-17.850251825308177,167.40437789726843,-241.9242838659373,3579.158621060696,1.506838357453397e-07,3579.1586209100124,1789.5793104550062,1789.57931060569,564.0326258586705,0.05
-18.69004076039246,167.35059783552842,-243.85233005733443,3218.723526243168,1.2973000675919701e-07,3218.7235261134383,1609.3617630567192,1609.361763186449,420.8829142946849,0.05
-17.339373405649606,168.9747443436689,-237.3597814821418,3784.673924752941,3.644371193309071e-07,3784.6739243885036,1892.3369621942518,1892.336962558689,726.7448261674821,0.05
-17.767030982087512,168.77319841299115,-238.88140821061145,3821.8221061628906,3.570602775889278e-07,3821.8221058058302,1910.9110529029151,1910.9110532599755,703.8518440977332,0.05
-18.20436555474108,169.98093522208475,-237.81781205266225,3478.2796832793683,4.08410956535112e-07,3478.2796828709575,1739.1398414354787,1739.1398418438896,673.4158463759697,0.05
-17.741965915840947,170.3268970473773,-235.9265137353331,3213.39842322819,4.759687776810257e-07,3213.3984227522214,1606.6992113761107,1606.6992118520793,652.6863934632768,0.05
-17.650059467027262,171.39694785691324,-233.8012135895216,2679.689052155334,4.949207364566215e-07,2679.6890516604135,1339.8445258302067,1339.8445263251274,578.326176339669,0.05
-18.5220292210019,175.05801344980324,-232.17612697768092,2063.281741092504,9.397419307602684e-07,2063.2817401527623,1031.6408700763811,1031.640871016123,426.30532506433417,0.05
-18.34068660118444,173.37013452322643,-233.31072569336328,2221.3522102896945,8.676537176123403e-07,2221.3522094220407,1110.6761047110203,1110.6761055786742,480.91435737623965,0.05
-19.320668790046472,168.70176862864415,-242.4935098243915,3594.2152555831267,1.6649509360705586e-07,3594.2152554166314,1797.1076277083157,1797.107627874811,558.6762855115372,0.05
-20.17058616860258,168.69200678367952,-244.3239179523904,3787.47809431681,8.799563674451728e-08,3787.4780942288144,1893.7390471144072,1893.7390472024026,483.20315883349093,0.05
