target,candidate,val_patient,R2,MAE,RMSE,Spearman,Top10_overlap,NMAE
OSI,LGB_mid,3,-0.762709472810057,0.10579577424501076,0.13015705993497528,-0.08500383465767669,0.05,0.6590726831600139
OSI,LGB_local,1,-0.34949996662158345,0.1138770149953578,0.14192444446140465,0.02947594533636996,0.10622710622710622,0.5448141442235401
OSI,LGB_local,2,-0.49732414179687745,0.10313054938182198,0.12612381321749422,0.4123807707842944,0.052941176470588235,0.6146258379910575
OSI,LGB_local,3,-0.8080958960827469,0.10660007206347859,0.13182205903543126,-0.07454365654919873,0.05,0.6640831925594698
RRT_1_per_Pa,LGB_smooth,1,-0.01728828825486306,3.7681593243271228,17.225328912409868,0.29662147003549666,0.22832722832722832,0.8483507593580514
RRT_1_per_Pa,LGB_smooth,2,0.22200873411233168,2.8723348004631237,5.891325682979753,0.7542663899637975,0.32794117647058824,0.47408693534738433
RRT_1_per_Pa,LGB_smooth,3,-0.3728275973305264,1.8365375023994004,2.8241135986102246,0.01756098874567961,0.040625,1.043566996471019
RRT_1_per_Pa,LGB_mid,1,-0.017347491108580693,3.793429317051141,17.225830134041413,0.2854124583950806,0.1684981684981685,0.8540399608145799
RRT_1_per_Pa,LGB_mid,2,0.1358793499620683,3.2592638446813464,6.208874236382361,0.6725277850947742,0.34705882352941175,0.5379506620761532
RRT_1_per_Pa,LGB_mid,3,-0.48899627572008386,1.913884156134334,2.941175687024917,-0.0021136994867660525,0.046875,1.0875173187594527
RRT_1_per_Pa,LGB_local,1,-0.01580989043685288,3.7185409311710163,17.212807807072615,0.3632856963620492,0.20146520146520147,0.8371798406444096
RRT_1_per_Pa,LGB_local,2,0.16004702462578435,3.143374737359553,6.121433806919087,0.7056949559503738,0.4102941176470588,0.5188228390516664
RRT_1_per_Pa,LGB_local,3,-0.34458096611930933,1.77116375078584,2.7949087997460524,0.04266071444563863,0.0625,1.0064199795817503
peak_WSS_magnitude_Pa,LGB_smooth,1,-0.5466176223012136,3.743824756835413,7.305162565471372,0.6736983459219364,0.2087912087912088,1.0501684600139638
peak_WSS_magnitude_Pa,LGB_smooth,2,0.12919521613202511,4.33864242350145,10.071378971908105,0.8442669295112902,0.5367647058823529,0.87053327262933
peak_WSS_magnitude_Pa,LGB_smooth,3,-2.034320685691332,1.7312987237753736,3.2413913826771306,0.5301215544523299,0.028125,1.3086841425391218
peak_WSS_magnitude_Pa,LGB_mid,1,-0.8345535363125571,4.155924410496651,7.956161731291983,0.6824264803625111,0.21611721611721613,1.1657652325037975
peak_WSS_magnitude_Pa,LGB_mid,2,0.14236106816291505,4.320370139065662,9.994953516389561,0.8256375864316481,0.5852941176470589,0.8668670033184188
peak_WSS_magnitude_Pa,LGB_mid,3,-1.5931641354929935,1.609915283238712,2.9965100427105935,0.5026701911136103,0.028125,1.216930719738251
peak_WSS_magnitude_Pa,LGB_local,1,-0.5931288993724015,3.705325159732249,7.414192636295218,0.7027962907070199,0.25518925518925517,1.0393690596074225
peak_WSS_magnitude_Pa,LGB_local,2,0.1389237149869369,4.265930304045395,10.014963003186297,0.841412220409635,0.5823529411764706,0.8559438427728796
peak_WSS_magnitude_Pa,LGB_local,3,-1.7218486723757276,1.605706231652412,3.069960038037417,0.5109369924113467,0.028125,1.2137491087369399
VM_cycle_max_Pa,LGB_smooth,1,-0.4370003582901165,2196.0877547025384,3517.8051298189034,-0.2185512247831014,0.017094017094017096,0.824202413881619
VM_cycle_max_Pa,LGB_smooth,2,-1.3912798287816055,1333.878372596606,1740.2342496503913,-0.189255036829984,0.09558823529411764,1.0506693152454307
VM_cycle_max_Pa,LGB_smooth,3,-0.25987874619345686,1220.9426688425233,1664.2880385646047,0.07002933987723438,0.190625,0.6864255962109538
VM_cycle_max_Pa,LGB_mid,1,-0.4678378568131696,2220.4528840490357,3555.350174637268,-0.24172868299675745,0.018315018315018316,0.8333467654126174
VM_cycle_max_Pa,LGB_mid,2,-1.58623161508625,1322.2068197044637,1809.7818138071211,-0.1837783329934884,0.09411764705882353,1.0414758664745611
VM_cycle_max_Pa,LGB_mid,3,-0.2474292138050549,1220.2532607037995,1656.0447660520126,0.08432068278501957,0.2,0.6860380043897056
VM_cycle_max_Pa,LGB_local,1,-0.41782224439647986,2192.3797041412367,3494.2520815588555,-0.1535279551069718,0.017094017094017096,0.8228107644737683
VM_cycle_max_Pa,LGB_local,2,-1.6403449791651856,1315.9415543633834,1828.617402888028,-0.18209279801587558,0.08088235294117647,1.036540842276718
VM_cycle_max_Pa,LGB_local,3,-0.268828955977227,1227.185994609219,1670.18914840563,0.09703649183983329,0.2375,0.6899356534160198
VM_stress_amplitude_Pa,LGB_smooth,1,-0.43700037014965676,1098.0438817301076,1758.9025720155926,-0.2185512247831014,0.017094017094017096,0.8242024156963035
VM_stress_amplitude_Pa,LGB_smooth,2,-1.3912798478716617,666.9391829647557,870.1171283302425,-0.189255036829984,0.09558823529411764,1.0506692929114807
VM_stress_amplitude_Pa,LGB_smooth,3,-0.2598787410645851,610.4713319183387,832.1440165345646,0.07002933987723438,0.190625,0.6864256028192094
VM_stress_amplitude_Pa,LGB_mid,1,-0.46783786588340726,1110.2264459725693,1777.6750926574666,-0.24172868299675745,0.018315018315018316,0.8333467668876162
VM_stress_amplitude_Pa,LGB_mid,2,-1.577686291747654,660.8140080227864,903.3947177825486,-0.18377702984350303,0.09411764705882353,1.041019937483554
VM_stress_amplitude_Pa,LGB_mid,3,-0.24742920957499992,610.1266277443657,828.0223805733672,0.08432068278501957,0.2,0.686038010875014
VM_stress_amplitude_Pa,LGB_local,1,-0.41774538705582853,1096.0566101891195,1747.0786858625438,-0.15237122553223117,0.017094017094017096,0.8227107503521588
VM_stress_amplitude_Pa,LGB_local,2,-1.6403450172976708,657.9707751900152,914.3087080798534,-0.18209279801587558,0.08088235294117647,1.0365408222864065
VM_stress_amplitude_Pa,LGB_local,3,-0.2688289495646514,613.5929948156853,835.0945710348824,0.09703649183983329,0.2375,0.6899356600881986
VM_temporal_mean_Pa,LGB_smooth,1,-0.2848451974243562,566.4090355797175,874.2176162537148,-0.19147669779701548,0.0,0.7980338494595642
