val_patient,target,calibration_fraction,n_calibration,R2,MAE,RMSE,Spearman,Top10_overlap
3,TAWSS_vector_Pa,0.02,64,0.17152144310208528,0.15356023653098788,0.3313140994540494,0.40681506949394847,0.3343949044585987
3,TAWSS_vector_Pa,0.05,160,0.29786619262640746,0.12656084226361022,0.3090620870254378,0.6242165784550838,0.6118421052631579
3,TAWSS_vector_Pa,0.1,320,0.3813333322393325,0.11415861997004013,0.2935489355395826,0.7197211942260455,0.6597222222222222
3,OSI,0.01,32,0.123428682143361,0.07632308294743455,0.09176103743315711,0.403453731136084,0.15772870662460567
3,OSI,0.02,64,0.2989149661049487,0.06597612720439883,0.08206152059794679,0.5811910471316475,0.28662420382165604
3,OSI,0.05,160,0.4890738946900398,0.052848110545903014,0.07031809833132573,0.7353283503128796,0.3815789473684211
3,OSI,0.1,320,0.6152368091690595,0.04348971067201302,0.06099759508926431,0.8041529834525527,0.4652777777777778
3,RRT_1_per_Pa,0.01,32,0.010015237643719366,1.2967977576810077,2.3949074137647015,0.2757105503995115,0.10094637223974763
3,RRT_1_per_Pa,0.02,64,0.10069563263918202,1.1311533204562838,2.2932936595915545,0.4762924955248711,0.28343949044585987
3,RRT_1_per_Pa,0.05,160,0.1383256256412344,0.9917414536133087,2.2189784000572965,0.6456444519073674,0.3980263157894737
3,RRT_1_per_Pa,0.1,320,0.22526506927698275,0.8770535389870304,2.12806249387585,0.7375120264289179,0.4861111111111111
3,peak_WSS_magnitude_Pa,0.01,32,0.18129316427412334,0.7402564479936745,1.6887275867960736,0.6618208086814402,0.5047318611987381
3,peak_WSS_magnitude_Pa,0.02,64,0.269849138779478,0.7269731121162193,1.5899607244696805,0.6470116112359767,0.4840764331210191
3,peak_WSS_magnitude_Pa,0.05,160,0.3669807707537639,0.5820144552512755,1.499127842063455,0.7960543244388409,0.6085526315789473
3,peak_WSS_magnitude_Pa,0.1,320,0.46925000921350957,0.5301111854774602,1.3874035168472327,0.8324373897082606,0.6284722222222222
3,VM_cycle_max_Pa,0.01,32,-0.07668701768545305,1151.1772570258588,1538.564279828388,0.23643438918399626,0.2113564668769716
3,VM_cycle_max_Pa,0.02,64,0.03218411345264649,1066.2687665244168,1459.089385031897,0.3114838145795884,0.30254777070063693
3,VM_cycle_max_Pa,0.05,160,0.31306401377677295,914.5952970610975,1235.715153470096,0.5087638324726101,0.48026315789473684
3,VM_cycle_max_Pa,0.1,320,0.4192391049445162,840.0228701295083,1145.3995922491247,0.6059939114819003,0.4548611111111111
3,VM_stress_amplitude_Pa,0.01,32,-0.07668702341952383,575.5886295606022,769.2821409907277,0.23643438918399626,0.2113564668769716
3,VM_stress_amplitude_Pa,0.02,64,0.03218411261858367,533.1343830094667,729.5446918972664,0.3114838145795884,0.30254777070063693
3,VM_stress_amplitude_Pa,0.05,160,0.3130640124707702,457.297648660221,617.8575765468919,0.5087638324726101,0.48026315789473684
3,VM_stress_amplitude_Pa,0.1,320,0.4192391041767638,420.01143516151495,572.6997958049518,0.6059939114819003,0.4548611111111111
3,VM_temporal_mean_Pa,0.01,32,-0.05982204856676954,271.40146338931817,367.83263737109877,0.4239492746483164,0.07886435331230283
3,VM_temporal_mean_Pa,0.02,64,0.1540673950713649,239.20688882030979,328.13889440299835,0.4671483210877721,0.24203821656050956
