% Model,Patient_2_Saccular(4).mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 16 2026, 17:26"
% Dimension,3
% Nodes,6800
% Expressions,21
% Description,von Mises stress
% Length unit,m
% x,y,z,solid.mises (N/m^2) @ t=0,solid.mises (N/m^2) @ t=0.05,solid.mises (N/m^2) @ t=0.1,solid.mises (N/m^2) @ t=0.15,solid.mises (N/m^2) @ t=0.2,solid.mises (N/m^2) @ t=0.25,solid.mises (N/m^2) @ t=0.3,solid.mises (N/m^2) @ t=0.35,solid.mises (N/m^2) @ t=0.4,solid.mises (N/m^2) @ t=0.45,solid.mises (N/m^2) @ t=0.5,solid.mises (N/m^2) @ t=0.55,solid.mises (N/m^2) @ t=0.6,solid.mises (N/m^2) @ t=0.65,solid.mises (N/m^2) @ t=0.7,solid.mises (N/m^2) @ t=0.75,solid.mises (N/m^2) @ t=0.8,solid.mises (N/m^2) @ t=0.85,solid.mises (N/m^2) @ t=0.9,solid.mises (N/m^2) @ t=0.95,solid.mises (N/m^2) @ t=1
-0.03451823915405416,-0.22039140581117445,-0.2025876135470126,1.2401835719350575E-7,1488.2796268591148,573.7896719060137,1308.590232264083,1022.7482931063438,264.850437792343,339.6138708469918,346.74227963403746,788.5166556850546,62.303855920631754,155.0708818820711,67.07251751041575,44.300312394795576,22.361934300842176,17.46083513356884,17.605364794146322,22.275275935831306,27.042235551185854,29.02482987570099,29.559791958382686,30.544980829619007
-0.031822772096548296,-0.21561981777030634,-0.20543313264567228,9.46919151160521E-8,2168.185709813804,790.5105496857778,1871.3792158026488,1423.5263008573322,381.1252302504372,530.8216818280777,497.96953058845037,1113.6070284126483,84.03730891259951,222.6000064793112,100.55953077386846,70.35536868727677,38.73419984670113,23.367636538337127,23.78331292036796,27.449894301117688,29.324712626609507,29.27870637113767,30.76022421029072,35.638900598739006
-0.034580124237993594,-0.21556211236039335,-0.2039102460396565,6.69642123109947E-8,2174.821903461478,815.6066084109452,1895.567550501606,1461.182383130132,325.46101500610445,503.4098265553196,502.8442783236869,1134.211563327746,84.26070415803672,231.5112736461905,101.50296442199374,65.90040661803273,37.47391905225355,24.57226265119441,27.20003918827557,31.213482274369174,32.89839182747835,32.6167268802815,33.42774361396636,37.4056214651475
-0.03565423279568736,-0.21337033525754026,-0.20354308125610543,2.801717298468348E-8,2554.463216741495,969.0682760340645,2255.207024149256,1721.1603993885265,342.6447114182236,595.0622678759248,599.246926455025,1340.2789279347683,103.31172603518166,280.03108457984473,122.64756012994845,76.9875488584958,46.967806851408625,30.86303835155141,33.33938856938506,36.02040632932445,36.584652243741694,36.27074521937942,38.03470352320076,43.79334281992838
-0.03457212854008304,-0.21116821935832206,-0.2042700910550252,1.2098332798824704E-8,3078.162867753461,1144.709625796255,2701.6763703333204,2038.5599678441731,393.55195686787255,724.8928326256546,726.7794221961676,1612.586858295144,118.93988442791294,333.7300392745824,152.46204173202662,101.44699541911314,63.36114857011133,35.01131632623115,33.36160559973615,34.24246901677529,35.626743861129235,38.05632048298285,43.39915760020949,52.773647783501055
-0.03634231861959362,-0.21813024958046096,-0.20225541623555873,8.001624861551712E-8,1622.2680103327828,631.7312880947137,1439.4046236784302,1117.1930457045341,264.53543429626507,373.5084511097967,382.9263941304798,861.5113500040665,68.63988076681144,174.2045108152602,75.0885097812131,46.829396205729495,24.818869127302484,19.88040006813346,23.427389983760584,28.614954258541278,32.228846690803486,32.782253144741404,32.34005669352876,33.09627930057509
-0.03892104905938731,-0.21676459952932767,-0.20087832034023378,3.598097266747645E-8,1789.1969785185963,730.1580210191916,1678.5560817468722,1260.1001100364765,258.8456642550339,453.69086087389337,452.7828405265694,967.2900575727634,88.38832757593174,211.21918398095343,90.1888720312074,50.90480904858654,26.575657473693827,26.907030895532404,31.70091635987743,35.33655833489075,37.00016876879112,35.69810280355799,34.075103456434164,34.633906960323834
-0.03692117658408759,-0.21111315384885015,-0.2027442830499151,1.8745923551900854E-8,2655.1835598103658,1023.8618054991863,2393.672967575256,1800.477054841249,336.9332330848799,637.9435011888089,638.9844981858846,1404.9547635151966,115.1235943027566,300.41926530152244,132.67227364617594,84.146499282086,56.04383510013589,39.88767595383254,40.392579036154395,40.572958870070686,39.93991291798145,39.51650123953604,41.883788826721364,48.54194951283963
-0.03927824294964131,-0.2141182326348193,-0.2009970310861365,1.1135888724497803E-8,2026.084153477885,822.6877925314428,1895.3539198395747,1421.6903986065133,279.1163526707035,511.4112768848832,507.73819217340093,1087.8416036623782,100.32001566592805,242.61479709304504,103.72484551926487,58.05386064313503,34.52040416719006,35.22434460364125,39.54428892161411,41.34119621287155,40.3906946046826,37.3975974400434,35.770876112164565,37.863328868813646
-0.03925548122921327,-0.2109119889253588,-0.20103480791284326,5.1985264623790555E-8,2212.8173416209397,894.1515170472543,2088.0231791308265,1546.1127595266285,297.7852818198068,573.6115077867288,556.487966698324,1185.5468377619732,112.63972289892844,268.63735944295024,116.142847601024,67.92939427786298,47.43220376399704,45.58066080098032,46.81233498194014,45.124477823798394,41.96900638968076,38.92281574431994,38.8386923575963,43.15240682164246
-0.03718230912286199,-0.21530242095355842,-0.2023307389404125,3.709050325652159E-8,2060.125766955092,806.3526192658892,1846.4768412323454,1416.3607609916062,294.73417717756973,481.0648794419821,490.87055291973246,1092.111657079301,89.03051432397353,230.77032158060243,98.6119265633406,58.21200231439548,34.058437939187094,28.189547728035148,32.32354155865626,36.01318275965143,37.097703682734995,35.690683010782124,34.896629564332834,37.21059812871568
-0.037600851505042686,-0.21310864986208805,-0.20227159764434494,1.1015940707629292E-8,2286.8188577084125,898.3066576827925,2078.711454077763,1572.7827331812161,313.5648908685995,551.9655358825785,552.3913132960856,1212.408695299211,105.0916221773083,264.81213075889286,115.1012204169374,68.58937239733895,42.84198300946711,35.315894295373276,38.41809812832186,39.985638016610714,39.16520613301658,37.218041304889354,37.36901152236815,41.56679780533619
-0.025373924891374387,-0.20983675205529206,-0.20910905835877958,8.465678544914524E-8,3130.307344764458,1235.740609881938,2978.943350361999,1804.6532076935134,579.3960256069339,933.6852280987823,795.5623225161636,1689.2663788545663,153.7950081635552,320.91525346746636,135.46923358353283,137.32845583631536,95.19736550450443,46.097037618549486,44.333756854272956,49.326390036576775,48.20757382622841,48.92325833064731,51.238971041695955,58.46630976525983
-0.027156803552389478,-0.20962880978380694,-0.20822562298556344,6.660810769913235E-8,3035.7358704418607,1101.4328253484848,2632.124676079483,1788.50214266619,570.1556374553181,796.875244810503,718.4998305803091,1569.019165887542,137.34737749922834,306.400725919486,149.13420932289762,138.06237520262104,86.75754615756709,39.68362814170351,37.89397192839413,40.96837600227121,39.63003110457324,40.543104334094316,44.291084401965406,52.65694333077827
-0.02588338830900575,-0.20829957793270848,-0.20861178529629726,5.7541530616552075E-8,2711.7425628501883,1105.6987028792726,2623.2998786248977,1582.8643288909745,537.2891236282394,782.9257679155968,684.5712838342288,1491.6883014487892,141.92950485129518,293.88668123706805,139.2934625045825,128.9368408379158,93.94949544259721,43.506665043609644,45.521077630582276,47.753757737433595,43.22247052300497,42.146879928401596,43.61718237438772,49.84097716310029
