target,calibration_fraction,n_calibration_P123,n_evaluation_P123,R2_P123,MAE_P123,RMSE_P123,NMAE_IQR,Spearman_P123,Top10_overlap_P123,R2_log1p,n_calibration_P13,n_evaluation_P13,R2_P13,MAE_P13,RMSE_P13,Spearman_P13,Top10_overlap_P13,delta_R2_P123_minus_P13,delta_Spearman_P123_minus_P13,delta_Top10_overlap_P123_minus_P13,delta_MAE_P123_minus_P13,delta_RMSE_P123_minus_P13
RRT_1_per_Pa,0.05,203,3852,-0.0004717401662539533,5.959429218038227,287.69652736128114,4.337383737184215,0.7105876992831753,0.5792207792207792,0.3566499427295259,203,3852,-0.0004739081094793,5.962121417698376,287.6968390689359,0.7124606909012793,0.5792207792207792,2.1679432253466995e-06,-0.0018729916181039474,0.0,-0.0026921996601494413,-0.0003117076547596298
RRT_1_per_Pa,0.1,406,3649,-0.0004605918432611933,6.13947522618823,295.5851636974597,4.503989319679018,0.7514823924107872,0.6,0.3926495074163652,406,3649,-0.0004617585340604,6.140293547778249,295.5853360462724,0.7526865422789908,0.6027397260273972,1.1666907992067188e-06,-0.0012041498682036078,-0.002739726027397249,-0.0008183215900192664,-0.00017234881272543134
peak_WSS_magnitude_Pa,0.01,41,4014,-0.05649481285636182,2.604563024461923,7.110683675398353,0.9313628565685604,0.48965542919682514,0.30673316708229426,0.003969386408369635,41,4014,-0.0632538028059774,2.587965875585235,7.133392928421625,0.4841905448273572,0.2493765586034912,0.006758989949615574,0.005464884369467959,0.057356608478803056,0.01659714887668784,-0.022709253023271536
peak_WSS_magnitude_Pa,0.02,81,3974,0.21074019947560607,2.2982321334085083,6.162182019824871,0.8169257476955706,0.6368040757302685,0.5365239294710328,0.33657895154931805,81,3974,0.1878533474860536,2.323159348293828,6.25088861212075,0.631315347878831,0.5415617128463476,0.02288685198955248,0.005488727851437503,-0.005037783375314797,-0.024927214885319682,-0.08870659229587918
peak_WSS_magnitude_Pa,0.05,203,3852,0.3022106668437211,2.034979351237952,5.8348239012177805,0.7171450258603586,0.7319930834830494,0.6051948051948052,0.4701615705100305,203,3852,0.2881024835942438,2.032110204970725,5.893514129365937,0.7361133517087641,0.6233766233766234,0.014108183249477324,-0.004120268225714763,-0.018181818181818188,0.0028691462672267853,-0.05869022814815672
peak_WSS_magnitude_Pa,0.1,406,3649,0.39010300696176725,2.0021314828916106,5.460700612022926,0.7018354114723168,0.7417885551048689,0.663013698630137,0.4612350699104605,406,3649,0.3823327957929002,1.9909616590122772,5.495375735216379,0.7499475274228404,0.6547945205479452,0.007770211168867058,-0.00815897231797158,0.008219178082191858,0.011169823879333407,-0.034675123193452784
VM_cycle_max_Pa,0.01,41,4014,0.04593711660157862,899.6779936025409,1210.6534679666074,0.5751704242316673,0.2817103043088913,0.2169576059850374,0.07624471406737299,41,4014,0.0142730745540904,917.7263821580176,1230.5794546465252,0.2510423113887853,0.2294264339152119,0.03166404204748822,0.030667992920106024,-0.012468827930174481,-18.048388555476663,-19.92598667991774
VM_cycle_max_Pa,0.02,81,3974,0.21041045395336144,824.6621414152694,1103.1982153074805,0.5264123048305362,0.40949165965887924,0.3904282115869018,0.1867308530924061,81,3974,0.1908420281985445,832.1844779292178,1116.7848512488297,0.3943996320607593,0.3929471032745592,0.01956842575481693,0.01509202759811995,-0.0025188916876573986,-7.522336513948403,-13.586635941349186
VM_cycle_max_Pa,0.05,203,3852,0.31674898798103013,728.6733740564453,1028.9401257217578,0.4634495767111493,0.5689549763840062,0.5064935064935064,0.3411587673361792,203,3852,0.3217672060058573,730.864770694659,1025.1545757139238,0.5724280992289733,0.509090909090909,-0.005018218024827159,-0.003473122844967147,-0.0025974025974025983,-2.191396638213746,3.78555000783399
VM_cycle_max_Pa,0.1,406,3649,0.3718115599130817,684.6413318219255,991.0689568505932,0.43315032809522575,0.6215106001536707,0.4821917808219178,0.3994226441670118,406,3649,0.3717053281745833,686.4983001338782,991.1527521903874,0.6292611112635778,0.4821917808219178,0.00010623173849838574,-0.007750511109907099,0.0,-1.8569683119526417,-0.08379533979427833
VM_stress_amplitude_Pa,0.01,41,4014,0.04600076158314104,449.8196323154465,605.306542050959,0.5751456737590438,0.281759624943234,0.2169576059850374,0.07630964635891424,41,4014,0.0146146418407548,458.7182551034828,615.1831139974373,0.2515024302411374,0.2294264339152119,0.03138611974238624,0.03025719470209659,-0.012468827930174481,-8.898622788036334,-9.876571946478293
VM_stress_amplitude_Pa,0.02,81,3974,0.21039499967124775,412.3233709463291,551.6045047233331,0.5264024782014933,0.4094416907059784,0.3904282115869018,0.18673559572836773,81,3974,0.1909045088313693,416.0565151264502,558.370865537761,0.3945461180830876,0.3929471032745592,0.019490490839878444,0.014895572622890818,-0.0025188916876573986,-3.733144180121144,-6.766360814427912
VM_stress_amplitude_Pa,0.05,203,3852,0.3167811264977639,364.3241654411385,514.4579620421605,0.4634336567414234,0.5689974639775767,0.5064935064935064,0.3411770244635772,203,3852,0.3218529257635265,365.40876095551926,512.5448943561589,0.572469000626329,0.509090909090909,-0.005071799265762567,-0.003471536648752327,-0.0025974025974025983,-1.0845955143807373,1.9130676860015683
VM_stress_amplitude_Pa,0.1,406,3649,0.3718363099715227,342.30688665745515,495.5247155912939,0.4331328932966052,0.6215427931002823,0.4821917808219178,0.3994524106624525,406,3649,0.3717302078784906,343.2396217559974,495.5665629555679,0.6292687782266966,0.4821917808219178,0.00010610209303213436,-0.007725985126414314,0.0,-0.9327350985422527,-0.04184736427401958
VM_temporal_mean_Pa,0.01,41,4014,0.10995987335582602,216.03377880827895,292.23332790190915,0.5226249892441973,0.48059320622799373,0.16708229426433915,0.22302356408783341,41,4014,0.1121527886404772,215.56687227294975,291.8730979905412,0.4651852699146361,0.1596009975062344,-0.0021929152846511812,0.015407936313357629,0.007481296758104744,0.46690653532920123,0.3602299113679237
VM_temporal_mean_Pa,0.02,81,3974,0.24828990894065361,199.5530408302546,268.85851001284044,0.4816526097716916,0.5356658192670744,0.2972292191435768,0.30933202076787847,81,3974,0.2589085719782338,199.0644605768784,266.9528073020847,0.5531380960188746,0.3576826196473551,-0.01061866303758019,-0.017472276751800297,-0.06045340050377829,0.4885802533761989,1.9057027107557474
VM_temporal_mean_Pa,0.05,203,3852,0.41019025351364913,170.05934002524788,238.54739729993372,0.41074011474733185,0.6727585386110507,0.5064935064935064,0.47182194057535465,203,3852,0.4011597961062954,171.70659704539685,240.36663566435337,0.66726461459541,0.5064935064935064,0.009030457407353754,0.00549392401564075,0.0,-1.6472570201489702,-1.8192383644196468
VM_temporal_mean_Pa,0.1,406,3649,0.45918506839220086,159.0335212797898,228.40567302349893,0.38237205783309036,0.6924709884684469,0.5424657534246575,0.5070996735809983,406,3649,0.4569252023706615,160.33031167645683,228.8823870490187,0.6912927743387686,0.5424657534246575,0.0022598660215393807,0.0011782141296783344,0.0,-1.2967903966670349,-0.4767140255197546
